anomaly,line_id,value,timestamps,Hour_Minute,Date,y_pred,y_pred_score
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,516255.0,2019-06-08 02:50:00,02:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,508069.0,2019-06-08 02:55:00,02:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,500600.0,2019-06-08 03:00:00,03:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,492299.0,2019-06-08 03:05:00,03:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,486036.0,2019-06-08 03:10:00,03:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,479274.0,2019-06-08 03:15:00,03:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,473938.0,2019-06-08 03:20:00,03:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,468588.0,2019-06-08 03:25:00,03:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,460041.0,2019-06-08 03:30:00,03:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,456916.0,2019-06-08 03:35:00,03:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,450903.0,2019-06-08 03:40:00,03:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,444572.0,2019-06-08 03:45:00,03:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,439271.0,2019-06-08 03:50:00,03:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,433842.0,2019-06-08 03:55:00,03:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,427559.0,2019-06-08 04:00:00,04:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,419333.0,2019-06-08 04:05:00,04:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,414978.0,2019-06-08 04:10:00,04:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,411543.0,2019-06-08 04:15:00,04:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,406769.0,2019-06-08 04:20:00,04:20:00,2019-06-08,99,99.0
